epoch,accuracy,loss,val_accuracy,val_loss
0,0.424577921628952,1.286586880683899,0.5216138362884521,1.157528281211853
1,0.7254359126091003,0.7737016677856445,0.6743515729904175,0.8146554827690125
2,0.8225851058959961,0.47887974977493286,0.7204610705375671,0.7929341793060303
3,0.8635482788085938,0.36612701416015625,0.7060518860816956,0.7986010313034058
4,0.8953778147697449,0.28908267617225647,0.6685879230499268,0.8932874798774719
5,0.92360919713974,0.23309321701526642,0.6858789920806885,0.9770709872245789
6,0.9346803426742554,0.19319941103458405,0.6829971075057983,0.9799302220344543
7,0.951287031173706,0.1541048139333725,0.6714697480201721,1.082380771636963
8,0.9590368270874023,0.12988696992397308,0.6685879230499268,1.1338268518447876
9,0.9651259183883667,0.1172390803694725,0.6858789920806885,1.339614748954773
10,0.9673401713371277,0.10672308504581451,0.680115282535553,1.2667198181152344
11,0.9703847169876099,0.09302931278944016,0.6484149694442749,1.3999290466308594
12,0.9706615209579468,0.09384389966726303,0.6714697480201721,1.3819949626922607
13,0.972045361995697,0.08458960056304932,0.6599423885345459,1.4255648851394653
14,0.974259614944458,0.0794639140367508,0.6541786789894104,1.4525738954544067
15,0.9759202599525452,0.07351968437433243,0.639769434928894,1.5234544277191162
16,0.9748131632804871,0.06923644989728928,0.6541786789894104,1.5745168924331665
17,0.9775809645652771,0.06619829684495926,0.6455331444740295,1.5555915832519531
18,0.9745364189147949,0.06869688630104065,0.6628242135047913,1.5766814947128296
19,0.9792416095733643,0.05397137254476547,0.6541786789894104,1.6541991233825684
20,0.9767506122589111,0.05762268230319023,0.6340057849884033,1.724912405014038
21,0.9761970639228821,0.053882867097854614,0.6628242135047913,1.7455003261566162
22,0.9773041605949402,0.05181325972080231,0.639769434928894,1.7343502044677734
23,0.9778577089309692,0.05201107636094093,0.651296854019165,1.83927583694458
24,0.9797951579093933,0.048828959465026855,0.651296854019165,1.8427139520645142
